#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-06-19"
#curie_map:
#  kbase: "http://kbase.us/"
#  mixs: "https://microbiomedata/schema/mixs#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
kbase:dna_picogreen_total	dna_picogreen_total	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dna_picogreen_total	dna_picogreen_total	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dna_picogreen_total_ng	dna_picogreen_total_ng	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:dna_picogreen_total_ng	dna_picogreen_total_ng	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_end_depth	drive_casing_end_depth	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_end_depth	drive_casing_end_depth	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_end_depth_ft_bgs	drive_casing_end_depth_ft_bgs	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_end_depth_ft_bgs	drive_casing_end_depth_ft_bgs	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_id	drive_casing_id	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_id	drive_casing_id	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_id_in	drive_casing_id_in	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_id_in	drive_casing_id_in	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_od	drive_casing_od	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_od	drive_casing_od	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_od_in	drive_casing_od_in	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_od_in	drive_casing_od_in	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_start_depth	drive_casing_start_depth	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_start_depth	drive_casing_start_depth	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_start_depth_ft_bgs	drive_casing_start_depth_ft_bgs	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_start_depth_ft_bgs	drive_casing_start_depth_ft_bgs	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_type	drive_casing_type	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:drive_casing_type	drive_casing_type	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:easting	easting	noMatch	:NO_MATCH	.	Lexical	kbase	https	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
kbase:easting	easting	noMatch	:NO_MATCH	.	Lexical	kbase	mixs	rdf_matcher	0.5	.	.	slot_definition	.	.	.	no match found
